id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
706369841518511682,0.0,1.0,41.0,1.0,4,2,365,1,350,170.0,3,0.53,4.33,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
706372084653497942,0.0,1.0,41.0,1.0,4,2,365,1,337,140.0,3,0.76,5.0,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
706377480486573375,0.0,1.0,41.0,1.0,2,2,365,1,348,117.0,3,0.59,4.33,0,1.0,214.0,1,1,1,1,1.0,1.0,1,0,0
706381249629060214,0.0,1.0,41.0,1.0,2,2,365,1,305,85.0,2,0.31,3.5,0,1.0,214.0,1,1,1,1,1.0,1.0,1,0,0
706396343931283471,0.0,1.0,1.0,1.0,5,1,365,0,0,429.0,0,0.0,4.93,0,1.5,1673.0,1,1,1,0,2.0,2.0,1,0,0
706405971431478384,1.0,0.76,8.0,1.0,5,2,14,0,77,128.0,4,0.64,5.0,1,1.0,2435.0,1,1,1,1,2.0,3.0,0,0,0
706410725254890356,0.0,0.99,721.0,1.0,2,30,365,1,315,70.0,1,0.23,5.0,1,1.0,337.0,1,1,1,1,2.0,1.0,1,0,0
706410729541073357,0.0,0.99,721.0,1.0,6,30,365,1,318,99.0,0,0.0,4.93,1,1.0,337.0,1,1,1,1,2.0,3.0,1,0,0
706418681420611579,1.0,1.0,3.0,1.0,3,2,5,0,6,155.0,25,4.31,4.76,0,1.0,2634.0,1,1,1,1,1.0,1.0,1,0,0
706425794802256264,0.0,0.99,13.0,1.0,2,2,45,1,166,102.0,19,2.95,4.47,1,1.0,200.0,1,1,1,1,1.0,1.0,1,0,0
706427797732746723,1.0,0.76,8.0,1.0,5,1,1,0,170,146.0,0,0.0,4.93,0,1.0,2435.0,1,1,1,1,2.0,3.0,0,0,0
706447546900614643,0.0,0.57,2.0,1.0,3,4,25,0,20,100.0,0,0.0,4.93,0,1.0,2278.0,1,1,1,0,1.0,1.0,1,0,0
706488419824863602,1.0,0.95,3.0,1.0,2,30,365,0,312,75.0,2,0.41,5.0,1,1.0,1065.0,1,1,1,1,2.0,1.0,1,0,0
706489852640658620,1.0,1.0,1.0,1.0,2,2,365,1,78,132.0,39,6.0,4.95,1,1.0,211.0,1,0,1,1,1.0,1.0,1,0,0
706501000514212028,0.0,0.99,17.0,1.0,8,1,365,0,333,216.0,22,3.77,4.73,0,2.0,3396.0,1,1,1,1,3.0,4.0,1,0,0
706519210990682558,0.0,1.0,41.0,1.0,4,2,365,1,339,141.0,3,0.62,5.0,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
706522526180591712,0.0,1.0,41.0,1.0,4,2,365,1,344,133.0,1,0.27,5.0,0,2.0,214.0,1,1,1,0,2.0,2.0,1,0,0
706526504782288121,0.0,0.96,226.0,1.0,5,1,365,1,349,262.0,9,1.5,4.78,1,2.0,2222.0,1,1,1,1,2.0,3.0,1,0,0
706531557726490842,0.0,0.96,226.0,1.0,8,1,365,1,139,413.0,2,0.42,5.0,0,3.5,2222.0,1,1,1,1,3.0,5.0,1,0,0
706531661699710985,0.0,1.0,41.0,1.0,4,2,365,1,359,139.0,2,0.62,4.0,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
706567028597621956,0.0,0.99,1.0,1.0,4,30,365,1,89,366.0,0,0.0,4.93,1,2.0,1437.0,1,1,1,0,2.0,2.0,1,0,0
706617775022976860,0.0,1.0,2.0,1.0,8,2,14,1,3,897.0,9,1.49,5.0,1,2.5,1690.0,1,1,1,1,4.0,5.0,1,0,0
706618025734854269,1.0,1.0,32.0,1.0,4,2,365,1,14,305.0,6,1.06,5.0,1,1.0,2924.0,1,1,1,1,1.0,2.0,1,0,0
706634552580397555,0.0,0.97,2.0,1.0,2,1,30,0,361,82.0,32,5.08,4.59,1,1.0,387.0,1,1,1,1,1.0,1.0,0,1,0
706650765530689776,1.0,1.0,32.0,1.0,6,2,365,1,194,310.0,2,2.0,5.0,0,2.0,2924.0,1,1,1,1,2.0,3.0,1,0,0
706738666931680487,1.0,1.0,8.0,1.0,2,1,120,0,355,81.0,11,1.7,5.0,1,1.0,2390.0,1,1,1,0,1.0,1.0,0,0,0
706751806219377153,1.0,1.0,8.0,1.0,6,1,120,0,345,176.0,18,2.89,5.0,1,2.0,2390.0,1,1,1,1,3.0,3.0,1,0,0
706764362953652475,0.0,0.99,4530.0,1.0,2,30,365,1,0,95.0,0,0.0,4.93,0,1.0,1409.0,1,1,1,1,1.0,1.0,1,0,0
707123565899226301,0.0,1.0,2.0,1.0,8,30,365,0,339,170.0,3,0.6,4.33,1,2.0,210.0,1,1,1,1,3.0,4.0,1,0,0
707188438603628708,1.0,0.99,3.0,1.0,2,2,30,1,143,149.0,26,4.48,5.0,1,1.0,3693.0,1,0,1,1,1.0,1.0,1,0,0
707211103296532146,0.0,1.0,1.0,1.0,2,1,30,1,0,60.0,9,3.0,4.78,0,1.0,2759.0,1,1,1,1,1.0,1.0,1,0,0
707244037085525283,0.0,0.99,34.0,1.0,2,1,180,1,263,173.0,31,5.11,4.77,0,1.0,662.0,1,1,1,1,1.0,1.0,1,0,0
707279315357549747,0.0,0.67,1.0,1.0,4,1,365,0,358,88.0,4,0.79,5.0,0,1.0,2575.0,1,1,1,1,2.0,2.0,0,1,0
707288066473578321,0.0,1.0,2.0,1.0,2,3,365,0,364,471.0,0,0.0,4.93,0,1.0,2481.0,1,1,1,0,1.0,1.0,1,0,0
707335046073042106,0.0,0.0,1.0,0.0,7,5,365,0,45,250.0,0,0.0,4.93,0,2.5,3673.0,1,1,1,1,3.0,4.0,1,0,0
707371561736740059,0.0,1.0,41.0,1.0,2,2,365,1,342,103.0,2,0.33,4.0,0,1.0,214.0,1,1,1,1,1.0,1.0,1,0,0
707378412501643862,1.0,1.0,4.0,1.0,10,1,31,1,151,325.0,7,1.35,5.0,1,3.5,229.0,1,1,1,1,4.0,5.0,1,0,0
